label,AVG_duration,Median_duration,Stay_frequency,Hotspot_longitude,Hotspot_latitude,停留时长比例大于70%,停留时段比例大于70%
4355,29.5,29.5,2.0,119.25963144253892,35.145199281694005,0.0,1.0
4356,41.0,41.0,1.0,118.96203566794858,36.10641449487176,1.0,0.0
4357,254.0,254.0,2.0,119.21890184741318,35.89065412056851,1.0,0.0
4358,52.5,52.5,2.0,119.42592352805494,35.35002458208481,1.0,0.0
4359,13.0,13.0,1.0,119.5408064483871,35.3796288935484,0.0,0.0
4360,26.0,26.0,1.0,119.5505478847458,35.37865206610169,0.0,0.0
4361,1021.6666666666666,252.0,3.0,119.38686876814465,35.337335236003234,1.0,0.0
4362,13.333333333333334,12.0,3.0,119.5464222421784,35.38169611822612,0.0,0.0
4363,16.5,16.5,2.0,118.88379238108112,35.538997534290544,0.0,0.0
4364,116.0,116.0,2.0,119.3177842079644,35.61863397148131,1.0,0.0
4365,44.0,44.0,1.0,119.52287008555552,35.32800116111108,1.0,0.0
4366,62.666666666666664,29.0,3.0,119.26887249756447,35.1657818544569,0.0,0.0
4367,123.5,121.5,4.0,119.27789122660762,35.19720969914339,1.0,0.0
4368,32.0,32.0,2.0,119.27732592849094,35.57308883101269,0.0,0.0
4369,16.5,16.5,2.0,119.53209242239055,35.34361132070707,0.0,0.0
4370,393.0,393.0,1.0,120.14690225031448,36.06230484380463,1.0,0.0
4371,43.0,43.0,1.0,119.29173429662912,35.30913570674156,1.0,0.0
4372,16.0,16.0,1.0,119.14305728157896,35.497400571052644,0.0,0.0
4373,15.666666666666666,13.0,3.0,119.40669379620569,35.4387766205489,0.0,0.0
4374,17.0,17.0,1.0,119.51718179999992,35.334833376315785,0.0,0.0
4375,54.5,54.5,2.0,119.23868289451875,35.77952048744744,1.0,0.0
4376,85.0,85.0,1.0,119.37440655,35.44592625698929,1.0,0.0
4377,55.5,55.5,2.0,119.28397167535738,35.13500854553574,1.0,0.0
4378,65.83333333333333,20.0,6.0,118.78255266252859,35.57190104864703,0.0,0.0
4379,32.0,32.0,1.0,118.72778345624998,35.526916799999995,0.0,0.0
4380,33.75,29.5,4.0,118.80037152666922,35.57050112388324,0.0,0.0
4381,23.5,17.5,4.0,118.78286185502266,35.59062434438068,0.0,0.0
4382,41.5,41.5,2.0,118.87226275744386,35.01319288574206,0.0,0.0
4383,53.0,53.0,1.0,119.51783817804896,35.36648499268302,1.0,0.0
4384,13.0,13.0,1.0,119.517706784375,35.374763696875,0.0,0.0
4385,17.0,17.0,1.0,119.51775382894736,35.37685520789473,0.0,0.0
